"ORGANIZATION NAME","ITEM NUMBER","ITEM DESCRIPTION",UOM,"ON HAND",
"086 Org FF.Suối Ngô - ANOVA FARM (Cost Org)",53172,"Heo thương phẩm # FP Lộc Hòa+W49/2022",Con,287,
"086 Org FF.Suối Ngô - ANOVA FARM (Cost Org)",53173,"Heo đực # FP Lộc Hòa +W48/2022",Con,2,
"086 Org FF.Suối Ngô - ANOVA FARM (Cost Org)",53175,"Heo cái # FP Lộc Hòa +W48/2022 (1 máu)",Con,6,
"086 Org FF.Suối Ngô - ANOVA FARM (Cost Org)",53176,"Heo cái # FP Lộc Hòa +W48/2022 (2 máu)",Con,277,
"086 Org FF.Suối Ngô - ANOVA FARM (Cost Org)",53177,"Heo cái # FP Lộc Hòa +W49/2022 (1 máu)",Con,14,
"086 Org FF.Suối Ngô - ANOVA FARM (Cost Org)",53178,"Heo cái # FP Lộc Hòa +W49/2022 (2 máu)",Con,187,
"086 Org FF.Suối Ngô - ANOVA FARM (Cost Org)",53298,"Kim inox số 9x13 (hộp xanh dương) -CATBD",Vĩ,100,
"086 Org FF.Suối Ngô - ANOVA FARM (Cost Org)",53485,"Heo thương phẩm # FP Lộc Hòa+W53/2022",Con,859,
"086 Org FF.Suối Ngô - ANOVA FARM (Cost Org)",53486,"Heo đực # FP Lộc Hòa +W52/2022",Con,5,
"086 Org FF.Suối Ngô - ANOVA FARM (Cost Org)",53488,"Heo cái # FP Lộc Hòa +W52/2022 (1 máu)",Con,11,
"086 Org FF.Suối Ngô - ANOVA FARM (Cost Org)",53489,"Heo cái # FP Lộc Hòa +W52/2022 (2 máu)",Con,119,
"086 Org FF.Suối Ngô - ANOVA FARM (Cost Org)",53490,"Heo cái # FP Lộc Hòa +W53/2022 (1 máu)",Con,15,
"086 Org FF.Suối Ngô - ANOVA FARM (Cost Org)",53491,"Heo cái # FP Lộc Hòa +W53/2022 (2 máu)",Con,72,
"086 Org FF.Suối Ngô - ANOVA FARM (Cost Org)",53683,"Heo thương phẩm # FP Lộc Hòa+W01/2023",Con,989,
"086 Org FF.Suối Ngô - ANOVA FARM (Cost Org)",53684,"Heo đực # FP Lộc Hòa +W01/2023",Con,7,
"086 Org FF.Suối Ngô - ANOVA FARM (Cost Org)",53685,"Heo cái # FP Lộc Hòa +W01/2023 (1 máu)",Con,7,
"086 Org FF.Suối Ngô - ANOVA FARM (Cost Org)",53686,"Heo cái # FP Lộc Hòa +W01/2023 (2 máu)",Con,106,
"086 Org FF.Suối Ngô - ANOVA FARM (Cost Org)",54041,"Heo thương phẩm # FP Lộc Hòa+W06/2023",Con,804,
"086 Org FF.Suối Ngô - ANOVA FARM (Cost Org)",54042,"Heo cái # FP Lộc Hòa +W06/2023 (1 máu)",Con,17,
"086 Org FF.Suối Ngô - ANOVA FARM (Cost Org)",54043,"Heo cái # FP Lộc Hòa +W06/2023 (2 máu)",Con,378,
"086 Org FF.Suối Ngô - ANOVA FARM (Cost Org)",54045,"Nova Doxine 500 10Kg Bag",Bao,19,
"086 Org FF.Suối Ngô - ANOVA FARM (Cost Org)",54089,"Bio - Para KC New 1Kg/gói",Gói,125,
"086 Org FF.Suối Ngô - ANOVA FARM (Cost Org)",54134,"Bút viết thẻ tai Mỹ -Kim Hoàn",Cây,1,
"086 Org FF.Suối Ngô - ANOVA FARM (Cost Org)",54157,"Thẻ tai heo đỏ Pháp -Kim Hoàn",Cái,1000,
"086 Org FF.Suối Ngô - ANOVA FARM (Cost Org)",54166,"Heo cái # FP Lộc Hòa +W07/2023 (1 máu)",Con,1,
"086 Org FF.Suối Ngô - ANOVA FARM (Cost Org)",54167,"Heo cái # FP Lộc Hòa +W07/2023 (2 máu)",Con,16,
"086 Org FF.Suối Ngô - ANOVA FARM (Cost Org)",54168,"Heo cái # FP Lộc Hòa +W08/2023 (1 máu)",Con,9,
"086 Org FF.Suối Ngô - ANOVA FARM (Cost Org)",54169,"Heo cái # FP Lộc Hòa +W08/2023 (2 máu)",Con,398,
"086 Org FF.Suối Ngô - ANOVA FARM (Cost Org)",54170,"Heo thương phẩm # FP Lộc Hòa+W08/2023",Con,599,
"086 Org FF.Suối Ngô - ANOVA FARM (Cost Org)",54206,"Nova Gentamycin 200 10Kg Bag (Farm)",Bao,2,
"086 Org FF.Suối Ngô - ANOVA FARM (Cost Org)",54279,"Heo thương phẩm # FP Lộc Hòa+W10/2023",Con,537,
"086 Org FF.Suối Ngô - ANOVA FARM (Cost Org)",54280,"Heo cái # FP Lộc Hòa +W09/2023 (1 máu)",Con,6,
"086 Org FF.Suối Ngô - ANOVA FARM (Cost Org)",54281,"Heo cái # FP Lộc Hòa +W09/2023 (2 máu)",Con,68,
"086 Org FF.Suối Ngô - ANOVA FARM (Cost Org)",54282,"Heo cái # FP Lộc Hòa +W10/2023 (1 máu)",Con,27,
"086 Org FF.Suối Ngô - ANOVA FARM (Cost Org)",54283,"Heo cái # FP Lộc Hòa +W10/2023 (2 máu)",Con,420,
"086 Org FF.Suối Ngô - ANOVA FARM (Cost Org)",54310,"Heo thương phẩm # FP Lộc Hòa+W11/2023",Con,887,
"086 Org FF.Suối Ngô - ANOVA FARM (Cost Org)",54311,"Heo cái # FP Lộc Hòa +W11/2023 (1 máu)",Con,40,
"086 Org FF.Suối Ngô - ANOVA FARM (Cost Org)",54312,"Heo cái # FP Lộc Hòa +W11/2023 (2 máu)",Con,246,
"086 Org FF.Suối Ngô - ANOVA FARM (Cost Org)",54345,"Bánh Xe Mâm Gang Chết 2,50-4 (20Cm)- Hiệu Ss Càng 6 Li -HAT",Cái,4,
"086 Org FF.Suối Ngô - ANOVA FARM (Cost Org)",54346,"Bánh Xe Mâm Gang Xoay  2,50-4 (20Cm)- Hiệu Ss Càng 6 Li -HAT",Cái,4,
"086 Org FF.Suối Ngô - ANOVA FARM (Cost Org)",54365,"Mũi Khoan Bê Tông 8 X210Mm- Makita- Gài  -HAT",Cây,1,
"086 Org FF.Suối Ngô - ANOVA FARM (Cost Org)",54377,"Tua Vít 2 Đầu 6Mmx 15Cm- Centery -HAT",Cây,1,
"086 Org FF.Suối Ngô - ANOVA FARM (Cost Org)",54446,"Heo thương phẩm # FP Lộc Hòa+W13/2023",Con,636,
"086 Org FF.Suối Ngô - ANOVA FARM (Cost Org)",54447,"Heo cái # FP Lộc Hòa +W13/2023 (1 máu)",Con,104,
"086 Org FF.Suối Ngô - ANOVA FARM (Cost Org)",54448,"Heo cái # FP Lộc Hòa +W13/2023 (2 máu)",Con,494,
"086 Org FF.Suối Ngô - ANOVA FARM (Cost Org)",54549,"Heo cái # FP Lộc Hòa +W14/2023 (1 máu)",Con,13,
"086 Org FF.Suối Ngô - ANOVA FARM (Cost Org)",54550,"Heo cái # FP Lộc Hòa +W14/2023 (2 máu)",Con,116,
"086 Org FF.Suối Ngô - ANOVA FARM (Cost Org)",54551,"Heo cái # FP Lộc Hòa +W15/2023 (1 máu)",Con,35,
"086 Org FF.Suối Ngô - ANOVA FARM (Cost Org)",54552,"Heo cái # FP Lộc Hòa +W15/2023 (2 máu)",Con,219,
"086 Org FF.Suối Ngô - ANOVA FARM (Cost Org)",54553,"Heo đực # FP Lộc Hòa +W15/2023",Con,2,
"086 Org FF.Suối Ngô - ANOVA FARM (Cost Org)",54554,"Heo thương phẩm # FP Lộc Hòa+W15/2023",Con,708,
"086 Org FF.Suối Ngô - ANOVA FARM (Cost Org)",54624,"Zactran 100ml/chai",Chai,2,
"086 Org FF.Suối Ngô - ANOVA FARM (Cost Org)",54673,"Heo cái # FP Lộc Hòa +W16/2023 (1 máu)",Con,132,
"086 Org FF.Suối Ngô - ANOVA FARM (Cost Org)",54674,"Heo cái # FP Lộc Hòa +W16/2023 (2 máu)",Con,364,
"086 Org FF.Suối Ngô - ANOVA FARM (Cost Org)",54675,"Heo đực # FP Lộc Hòa +W16/2023",Con,2,
"086 Org FF.Suối Ngô - ANOVA FARM (Cost Org)",54676,"Heo thương phẩm # FP Lộc Hòa+W16/2023",Con,607,
"080 Org FP.Tân Thắng - ANOVA FARM (Cost Org)",564,"Nova Amdecol 100mlx30",Chai,25,
"080 Org FP.Tân Thắng - ANOVA FARM (Cost Org)",641,"Nova Gentylo 100mlx30",Chai,42,
"080 Org FP.Tân Thắng - ANOVA FARM (Cost Org)",669,"Nova Oxytocin 100mlx30",Chai,67,
"080 Org FP.Tân Thắng - ANOVA FARM (Cost Org)",598,"Nova Cefur 100mlx30",Chai,60,
"080 Org FP.Tân Thắng - ANOVA FARM (Cost Org)",693,"Nova C Vit 100mlx30",Chai,65,
"080 Org FP.Tân Thắng - ANOVA FARM (Cost Org)",699,"Novasal 100mlx30",Chai,83,
"080 Org FP.Tân Thắng - ANOVA FARM (Cost Org)",3798,"Nova A.C Xanh 100mlx30",Chai,45,
"080 Org FP.Tân Thắng - ANOVA FARM (Cost Org)",3802,"Nova Doxal 100mlx30",Chai,15,
"080 Org FP.Tân Thắng - ANOVA FARM (Cost Org)",4171,"Calcium-B12(Vàng) 100ml/Chai",Chai,152,
"080 Org FP.Tân Thắng - ANOVA FARM (Cost Org)",4359,"SG.Toltracoc 5% 100ml/Chai",Chai,40,
"080 Org FP.Tân Thắng - ANOVA FARM (Cost Org)",4365,"SG.Vitamin C 2000  100ml/Chai",Chai,26,
"080 Org FP.Tân Thắng - ANOVA FARM (Cost Org)",5843,"Môi trường pha tinh heo Kubus",Gói,240,
"080 Org FP.Tân Thắng - ANOVA FARM (Cost Org)",6302,"Farrowsure Gold B 10ds (20ml/chai)",Lọ,61,
"080 Org FP.Tân Thắng - ANOVA FARM (Cost Org)",6458,"BIO-GUM K + C 1kg",Gói,28,
"080 Org FP.Tân Thắng - ANOVA FARM (Cost Org)",7430,"Bio Progesterone 10ml/lọ",Lọ,15,
"080 Org FP.Tân Thắng - ANOVA FARM (Cost Org)",7967,"Ceptifur AP 100ml/chai",Chai,70,
"080 Org FP.Tân Thắng - ANOVA FARM (Cost Org)",8968,"Formal 30 lít/can",Lít,30,
"080 Org FP.Tân Thắng - ANOVA FARM (Cost Org)",9949,"Iodine 10% AP 20lit/can",Can,1,
"080 Org FP.Tân Thắng - ANOVA FARM (Cost Org)",10825,"Amox - LA AP 100ml/chai",Chai,249,
"080 Org FP.Tân Thắng - ANOVA FARM (Cost Org)",10827,"Dexa AP 100ml/chai",Chai,49,
"080 Org FP.Tân Thắng - ANOVA FARM (Cost Org)",13282,"Bio-Linco-S 100ml/chai",Chai,140,
"080 Org FP.Tân Thắng - ANOVA FARM (Cost Org)",13284,"Bio-Bcomplex 100ml/chai",Chai,13,
"080 Org FP.Tân Thắng - ANOVA FARM (Cost Org)",13390,"Ingelvac Mycoflex 10ds (10ml/lọ)",Lọ,21,
"080 Org FP.Tân Thắng - ANOVA FARM (Cost Org)",13391,"Ingelvac Mycoflex 50ds (50ml/chai)",Chai,17,
"080 Org FP.Tân Thắng - ANOVA FARM (Cost Org)",13466,"Availa Sow Feed First 25kg/bao",Kg,271,
"080 Org FP.Tân Thắng - ANOVA FARM (Cost Org)",13670,"BIO-CALCIPADE  10KG/BAO",Bao,6,
"080 Org FP.Tân Thắng - ANOVA FARM (Cost Org)",13715,"Bio-Glucose 5% 500ml/chai",Chai,1055,
"080 Org FP.Tân Thắng - ANOVA FARM (Cost Org)",13827,"Bio-Tiamulin 100ml/chai",Chai,45,
"080 Org FP.Tân Thắng - ANOVA FARM (Cost Org)",13961,"Dầu DO 0.05S - 200lít/phuy",Lít,1755,
"080 Org FP.Tân Thắng - ANOVA FARM (Cost Org)",13963,"Ingelvac PRRS MLV + Diluent - 10 ds 10 liều / lọ",Bộ,1,
"080 Org FP.Tân Thắng - ANOVA FARM (Cost Org)",13983,"Bio-Flor Doxy 100ml/chai",Chai,42,
"080 Org FP.Tân Thắng - ANOVA FARM (Cost Org)",13986,"Finadyne Solution 50ml/chai",Chai,12,
"080 Org FP.Tân Thắng - ANOVA FARM (Cost Org)",14102,"Vitamin AD3E 100ml/chai",Chai,57,
"080 Org FP.Tân Thắng - ANOVA FARM (Cost Org)",14103,"Bio-Calci Fort 100ml/chai",Chai,141,
"080 Org FP.Tân Thắng - ANOVA FARM (Cost Org)",14289,"Xăng RON 95 - 30lít/can",Lít,20,
"080 Org FP.Tân Thắng - ANOVA FARM (Cost Org)",14481,"Provac Circomaster 20ds (20ml/chai)",Lọ,14,
"080 Org FP.Tân Thắng - ANOVA FARM (Cost Org)",14482,"Provac Circomaster 50ds (50ml/chai)",Chai,122,
"080 Org FP.Tân Thắng - ANOVA FARM (Cost Org)",14487,"P.G 600 - 1D 1 liều / lọ - 5ml / lọ",Bộ,40,
"080 Org FP.Tân Thắng - ANOVA FARM (Cost Org)",14851,"AFA Nova Coc 5% 100ml/chai",Chai,160,
"080 Org FP.Tân Thắng - ANOVA FARM (Cost Org)",14852,"AFA Nova Mectin 1% 20ml/chai",Lọ,215,
"080 Org FP.Tân Thắng - ANOVA FARM (Cost Org)",14853,"AFA Nova Tulacin 20ml/chai",Lọ,75,
"080 Org FP.Tân Thắng - ANOVA FARM (Cost Org)",15056,"AFA-A18B-Milky - Hàng xá",Kg,9405,
"080 Org FP.Tân Thắng - ANOVA FARM (Cost Org)",15761,"Bio-Bromhexine 100ml/chai",Chai,35,
"080 Org FP.Tân Thắng - ANOVA FARM (Cost Org)",15788,"AFA-Colispec 100 ml/chai",Chai,104,
"080 Org FP.Tân Thắng - ANOVA FARM (Cost Org)",15860,"HC Vac 50ds (dạng bánh) + nước pha (100ml/lọ)+50liều/chai + nước pha++",Bộ,12,
"080 Org FP.Tân Thắng - ANOVA FARM (Cost Org)",16719,"Bio-Lactated Ringer's 500ml/chai",Chai,458,
"080 Org FP.Tân Thắng - ANOVA FARM (Cost Org)",16722,"TH4 200lít/phuy",Lít,180,
"080 Org FP.Tân Thắng - ANOVA FARM (Cost Org)",17396,"Bio-Tulacin 100 20ml/lọ",Lọ,9,
"080 Org FP.Tân Thắng - ANOVA FARM (Cost Org)",20017,"AFA-Nova Enro 10% 100ml/chai",Chai,73,
"080 Org FP.Tân Thắng - ANOVA FARM (Cost Org)",20090,"AFA-Nova Fe+B12 100ml/chai",Chai,115,
"080 Org FP.Tân Thắng - ANOVA FARM (Cost Org)",20108,"Heo con (SS -> CS)",Con,4944,
"080 Org FP.Tân Thắng - ANOVA FARM (Cost Org)",20524,"Bio-Prost 50ml/lọ",Chai,33,
"080 Org FP.Tân Thắng - ANOVA FARM (Cost Org)",22034,"Porcilis Begonia 10ds (dạng bánh) + Unisolve nước pha (20ml/lọ)",Lọ,3,
"080 Org FP.Tân Thắng - ANOVA FARM (Cost Org)",22405,"Bio-CEVIT 100ml/chai",Chai,83,
"080 Org FP.Tân Thắng - ANOVA FARM (Cost Org)",22408,"Bio-Peni Strepto 100ml",Chai,1,
"080 Org FP.Tân Thắng - ANOVA FARM (Cost Org)",22686,"Porcilis Begonia 50ds (dạng bánh) + Unisolve nước pha (100ml/chai)",Chai,14,
"080 Org FP.Tân Thắng - ANOVA FARM (Cost Org)",22903,"Purlite 25kg/bao",Kg,125,
"080 Org FP.Tân Thắng - ANOVA FARM (Cost Org)",28308,"Sút (NaOH) 25kg/bao",Kg,50,
